"n_pubs","n_authors"
1,282161
2,59560
3,22881
4,11490
5,6500
6,4095
7,2683
8,1937
9,1393
10,1090
11,782
12,579
13,454
14,382
15,317
16,234
17,232
18,148
19,135
20,115
21,101
22,82
23,58
24,72
25,47
26,54
27,52
28,45
29,30
30,34
31,32
32,26
33,17
34,21
35,18
36,17
37,17
38,14
39,11
40,8
41,12
42,13
43,8
44,11
45,7
46,7
47,5
48,3
49,4
50,10
51,6
52,6
53,4
54,4
55,4
56,5
57,2
59,3
60,3
61,2
62,1
63,1
64,1
65,2
66,3
67,2
68,3
70,1
72,2
73,1
75,2
76,1
81,1
82,3
83,1
85,2
87,3
89,1
92,1
93,1
96,1
100,1
103,1
112,1
119,1
121,1
126,1
150,1
156,1
